Subject,Trial,QA TRs,Mean,SD,Min,1Q,2Q,3Q,Max,Outliers,Outliers %
DYN_009,task1,550.0,39.31451127272727,4.82450807276844,33.2045,36.209450000000004,37.98035,41.038624999999996,80.1845,22.0,4.0,
DYN_009,task2,550.0,36.39548927272727,11.107752408116244,24.7292,30.841375,33.63305,37.963750000000005,125.464,37.0,6.7272727272727275,
DYN_009,training,424.0,35.43481603773585,5.082454754855758,25.0536,32.79905,35.733599999999996,37.602925,57.2481,17.0,4.009433962264151,
DYN_010,hilo,424.0,36.25889787735849,1.7351956810016103,31.8116,35.145250000000004,36.26135,37.3072,40.8617,3.0,0.7075471698113207,
DYN_010,rest,494.0,36.38005263157895,1.855508168909973,31.2847,35.14175,36.34895,37.592650000000006,44.0841,3.0,0.6072874493927125,
DYN_010,task1,550.0,35.21264054545454,1.957630622294197,30.4812,33.7645,35.21145,36.623775,41.1866,1.0,0.18181818181818182,
DYN_010,task2,550.0,32.78311363636364,2.3244992625624596,27.1153,31.214799999999997,32.7787,34.314925,41.1592,1.0,0.18181818181818182,
DYN_010,training,424.0,33.626125943396225,1.9052326588966229,28.6316,32.271975,33.4415,34.8275,39.9502,2.0,0.4716981132075472,
DYN_011,hilo,424.0,32.1694483490566,2.1178339177259757,28.7472,31.050649999999997,31.9507,32.763999999999996,46.8378,19.0,4.481132075471698,
DYN_011,rest,494.0,30.874637044534413,1.715440313763602,27.2849,29.61395,30.68275,31.835375,38.5768,10.0,2.0242914979757085,
DYN_011,task1,550.0,31.984218181818182,3.060021411183286,27.5864,30.311474999999998,31.3765,32.515950000000004,54.2986,45.0,8.181818181818182,
DYN_011,task2,550.0,34.269051090909095,3.653451197142043,26.983,31.690775,34.0501,36.39255,49.7555,8.0,1.4545454545454546,
DYN_011,training,424.0,32.123737735849055,3.6270016883014318,27.9956,30.06485,31.11125,32.735749999999996,65.3542,35.0,8.254716981132075,
DYN_012,hilo,424.0,32.13397688679245,2.946788620006729,27.5523,30.4829,31.71655,32.971225,53.2892,17.0,4.009433962264151,
DYN_012,rest,494.0,31.847146356275303,2.855599143857996,25.5471,30.163475,31.76665,33.155875,47.531000000000006,15.0,3.0364372469635628,
DYN_012,task1,550.0,32.72063563636364,2.3244159917333502,28.5728,31.383325,32.46125,33.669774999999994,54.3065,11.0,2.0,
DYN_012,task2,550.0,32.912029454545454,4.443818470800301,26.3261,30.525150000000004,32.27095,34.222025,74.5525,25.0,4.545454545454546,
DYN_012,training,424.0,31.870593160377357,2.783922355693481,24.9148,30.253775,31.68525,33.260225,46.5772,11.0,2.5943396226415096,
DYN_013,hilo,424.0,35.016520047169806,2.3225822844592954,28.6816,33.767775,35.029849999999996,36.3135,41.7314,12.0,2.830188679245283,
DYN_013,rest,494.0,35.024539068825916,1.9088822459960828,31.5483,33.679325,34.759600000000006,36.102824999999996,42.8113,13.0,2.6315789473684212,
DYN_013,task1,550.0,35.46828745454546,1.6636877799266596,30.2328,34.368275000000004,35.39515,36.46232500000001,41.9185,10.0,1.8181818181818181,
DYN_013,task2,550.0,35.84499109090909,1.6984740082594343,32.0961,34.713924999999996,35.780249999999995,36.819874999999996,42.2522,11.0,2.0,
DYN_013,training,424.0,37.342731839622644,2.2330493013416906,31.6411,35.97255,37.33825,38.6297,45.7081,7.0,1.650943396226415,
DYN_014,hilo,424.0,50.524090566037735,3.0139177297117907,41.7658,48.630700000000004,50.37435,51.942350000000005,73.546,12.0,2.830188679245283,
DYN_014,rest,494.0,44.838856275303634,1.9849615311008921,39.8973,43.4119,45.09245,46.266225,52.0065,2.0,0.4048582995951417,
DYN_014,task1,550.0,48.50833345454545,4.672706737875445,35.794000000000004,46.4975,48.047799999999995,49.779325,91.6121,31.0,5.636363636363637,
DYN_014,task2,550.0,45.065670545454545,4.0701296316459326,38.3962,42.450624999999995,44.06165,46.663000000000004,67.7363,32.0,5.818181818181818,
DYN_014,training,424.0,49.48660683962264,6.604473817516817,39.0123,46.4208,48.563550000000006,51.435125,100.446,17.0,4.009433962264151,
DYN_015,hilo,424.0,36.426848584905656,5.312625918260562,26.1586,33.817925,35.60705,37.520624999999995,68.2024,27.0,6.367924528301887,
DYN_015,rest,494.0,43.76883360323887,5.933171790974999,34.4195,38.41825,45.6879,47.515625,93.6126,2.0,0.4048582995951417,
DYN_015,task1,550.0,36.93822909090909,4.9309685829165,28.689,34.217349999999996,36.0831,38.26165,67.8742,29.0,5.2727272727272725,
DYN_015,task2,550.0,38.41170072727273,4.877837745419274,31.6375,34.889025,37.3994,40.836425000000006,71.0775,13.0,2.3636363636363638,
DYN_015,training,424.0,37.90781037735849,7.224273270472549,30.9805,36.16222500000001,37.20585,38.325275,142.819,21.0,4.952830188679245,
DYN_016,hilo,424.0,39.57927051886793,2.822330146567018,34.3319,37.211000000000006,39.53165,41.696375,47.9442,0.0,0.0,
DYN_016,rest,494.0,38.33448137651822,2.4515954674790086,32.2678,36.70435,38.57615,40.003874999999994,45.5568,1.0,0.20242914979757085,
